gene_symbol,Hpca
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1336200
pvalue,0.2292513
mouse_life_stage,Late adult
analysis_id,8zq0ycu1qfbq217
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
