gene_symbol,Ints7
parameter_name,Number of rears - total
gene_accession_id,MGI:1924315
mouse_strain,C57BL
analysis_id,ol34210572chewc
mouse_life_stage,Early adult
pvalue,0.5747729
parameter_id,IMPC_OFD_021_001
