parameter_name,Cleft palate
mouse_strain,C57BL
gene_symbol,Psd4
pvalue,0.3154258
mouse_life_stage,Early adult
analysis_id,dx7c507kssn5t4g
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:2674093
