gene_symbol,Dnajc8
parameter_id,IMPC_CBC_058_001
parameter_name,Cholesterol ratio
pvalue,0.2020929
gene_accession_id,MGI:1915848
analysis_id,ni52k0704om4p8p
mouse_strain,C57BL
mouse_life_stage,Early adult
