analysis_id,381q7o1f2303700
parameter_id,MGP_IMM_129_001
pvalue,0.7611784
mouse_strain,C57BL
gene_symbol,Ahctf1
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
