parameter_id,IMPC_EYE_092_001
analysis_id,35806e1o2erkfbp
gene_symbol,Mapkap1
pvalue,0.4722098
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Retina (combined)
mouse_life_stage,E15.5
