parameter_name,Center resting time
gene_accession_id,MGI:1913396
gene_symbol,Maco1
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
analysis_id,7m9y121630u3pf2
pvalue,0.9294291
