gene_symbol,Rab17
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
pvalue,0.5056189
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
analysis_id,my37ufe489tuc1j
