analysis_id,fq4j71z4p7d8uo7
gene_symbol,Pum1
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
parameter_id,HRWLLA_DXA_007_001
pvalue,0.1641129
mouse_strain,C57BL
parameter_name,BMC/Body weight
