parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
analysis_id,awtj6314zm604f6
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
gene_symbol,Sdcbp2
pvalue,0.5130727
gene_accession_id,MGI:2385156
