analysis_id,949231h0h585srl
gene_symbol,Mgst2
mouse_strain,C57BL
gene_accession_id,MGI:2448481
pvalue,0.1796168
mouse_life_stage,Early adult
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
