gene_symbol,Med22
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:98446
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.5470068
mouse_life_stage,Early adult
analysis_id,1585i68pe530shx
