parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
analysis_id,14q2sv4el8805fu
mouse_life_stage,Early adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.9694484
