gene_symbol,Golm2
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Cleft palate
gene_accession_id,MGI:2443129
pvalue,0.8765888
analysis_id,p88wa5311y2n8q8
