analysis_id,8yo5w9914j62b71
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1919949
gene_symbol,Lime1
pvalue,0.4872866
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle response
