gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
analysis_id,n4ao0n59zh6p2s7
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3786783
