analysis_id,8p809201535qk5y
gene_accession_id,MGI:1915524
parameter_name,CD8+ alpha beta T cell percentage
gene_symbol,Toporsl
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_004_001
pvalue,0.7605228
