gene_symbol,Nucks1
mouse_strain,C57BL
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
analysis_id,nl741k5c586151g
pvalue,0.4809541
