gene_symbol,Col6a3
pvalue,0.6013789
analysis_id,69p4c065w159j9a
gene_accession_id,MGI:88461
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
