gene_symbol,Atf3
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
analysis_id,vv16v8w3d97k585
pvalue,0.6913222
parameter_name,Body Weight
