gene_symbol,Serinc3
analysis_id,7urkn375u3238e1
mouse_life_stage,Early adult
gene_accession_id,MGI:1349457
pvalue,0.669248
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
parameter_name,Liver weight
