parameter_name,Lower teeth appearance
gene_symbol,Bcs1l
pvalue,0.4413607
analysis_id,2wa9320g72lg556
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
