gene_symbol,Trp53i11
pvalue,0.05659063
analysis_id,823m8ia6s711x5r
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
