gene_symbol,Lpgat1
pvalue,0.1583082
analysis_id,ddq7lx1e547y6q5
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
mouse_strain,C57BL
