analysis_id,y956g74578sxt26
parameter_name,Total cholesterol
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.3512841
gene_symbol,Trdmt1
