analysis_id,7228f432l3tol3b
pvalue,0.2218497
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
