parameter_name,Joints
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
pvalue,0.6588604
mouse_life_stage,Early adult
analysis_id,0t356l0no723438
