analysis_id,00le4bqrc8895e5
gene_accession_id,MGI:1346344
mouse_strain,B6J
gene_symbol,Nr0b2
parameter_name,Whole arena average speed
parameter_id,ESLIM_007_001_005
pvalue,0.5305231
mouse_life_stage,Early adult
