gene_symbol,Ntmt2
analysis_id,m17282d999mqz2y
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,MGP_MLN_071_001
pvalue,0.8330143
parameter_name,Resting Treg cells - % of CD45+
