parameter_name,Vitreous
parameter_id,UCDLA_EYE_083_001
analysis_id,1396fp446xb67d3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
pvalue,0.3131265
gene_symbol,Clvs1
