analysis_id,rn58qs3bq74no79
parameter_name,lens opacity
mouse_strain,C57BL
gene_symbol,Slc45a3
pvalue,0.3007402
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1922082
