analysis_id,v0d2rnrf8o5i09s
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
gene_symbol,Pld1
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
mouse_strain,C58BL
pvalue,0.5978628
