analysis_id,04s465121977d04
gene_symbol,Lurap1
pvalue,0.3804655
mouse_strain,C58BL
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
parameter_name,Retina (combined)
gene_accession_id,MGI:1915325
