gene_symbol,Opn3
mouse_strain,C57BL
analysis_id,58k623fk750j35g
pvalue,0.7947936
parameter_name,Head morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,MGP_CSD_064_001
