parameter_name,Hemoglobin
mouse_strain,C57BL
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
gene_symbol,Ivd
parameter_id,IMPC_HEM_003_001
analysis_id,48r84xg3jgta750
pvalue,0.40638
