analysis_id,2h6yx06415568c3
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
parameter_id,MGP_MLN_074_001
pvalue,0.6116702
mouse_life_stage,Early adult
mouse_strain,C57BL
