analysis_id,1do2mwv6g7254yc
gene_symbol,Tiprl
pvalue,0.1979356
gene_accession_id,MGI:1915087
parameter_name,Bone Area
mouse_life_stage,E12.5
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
