parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
pvalue,0.4471363
gene_accession_id,MGI:1923029
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
analysis_id,2g78y207sz25i74
