gene_symbol,Extl1
parameter_name,Body Weight
mouse_strain,C57BL
analysis_id,3au7i0zzx08v2ft
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1888742
pvalue,0.4783502
