parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
analysis_id,41v5gr19580rge2
gene_accession_id,MGI:99915
gene_symbol,Lamb3
pvalue,0.2291401
