parameter_id,IMPC_ECH_001_001
gene_symbol,Toporsl
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1915524
analysis_id,w132b74p4rmftw9
mouse_strain,C57BL
pvalue,0.4145096
mouse_life_stage,Early adult
