analysis_id,u3a64304t7r8033
gene_symbol,Cmpk1
pvalue,0.2967328
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
parameter_name,Startle response
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
