analysis_id,811ykswj0snjg77
gene_accession_id,MGI:1914071
pvalue,0.7528339
parameter_name,Total NK cells - % of CD45+
gene_symbol,Bcs1l
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
mouse_life_stage,E12.5
