parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
gene_accession_id,MGI:3616086
pvalue,0.1569287
analysis_id,d2v3us19hg2kj5n
mouse_life_stage,Early adult
gene_symbol,Kcng1
mouse_strain,C57BL
