parameter_name,Hindlimb nail - number
gene_accession_id,MGI:2385884
analysis_id,idhng09n9gs16kf
pvalue,0.4702211
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
gene_symbol,Ddx27
