analysis_id,n760e0c4wxg2q3s
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,1.217381
parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
gene_symbol,Arpc5l
mouse_strain,C57BL
