gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_011_001
pvalue,0.6345944
parameter_name,Coat - hair distribution - back
analysis_id,mkyfdy775o82r9n
mouse_strain,C57BL
gene_accession_id,MGI:1924054
