parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
analysis_id,595p7k2998764a0
mouse_life_stage,Early adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.598907
parameter_id,ICS_FEA_019_001
