gene_symbol,Ints7
analysis_id,2dec15x36279yj1
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
pvalue,0.963227
gene_accession_id,MGI:1924315
parameter_id,MGP_IMM_125_001
