gene_symbol,Atg4c
parameter_id,MGP_MLN_066_001
pvalue,0.9737569
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
analysis_id,9m1hez09chivb0m
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
