parameter_name,HDL-cholesterol
analysis_id,oy27keg51h05jhq
mouse_strain,C57BL
pvalue,0.4208349
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
gene_symbol,Mgst2
