parameter_name,Potassium
gene_symbol,Kif24
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
pvalue,0.4228713
analysis_id,53qr65270167339
mouse_strain,C57BL
parameter_id,GMC_906_001_005
