gene_symbol,Nr0b2
pvalue,0.9924359
mouse_strain,B6J
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep mean
gene_accession_id,MGI:1346344
analysis_id,2o4fm9u9ed5a636
parameter_id,JAX_SLW_013_001
