analysis_id,4c76in2k29c9l70
parameter_id,M-G-P_005_001_004
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
pvalue,0.4984908
mouse_life_stage,Early adult
