gene_symbol,Sgip1
analysis_id,jv929d38z40vzbh
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.6008043
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1920344
