parameter_name,CV
analysis_id,u8r05oz7o5xc562
gene_symbol,Casq1
parameter_id,IMPC_ECG_003_001
pvalue,0.06247303
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
