gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.2102924
analysis_id,55kbm10o16not53
parameter_name,Basophil differential count
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
