gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
analysis_id,la4mi9i95ntj49k
pvalue,0.6131593
parameter_id,MGP_MLN_071_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
