parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.9474025
analysis_id,788i5zpur4z7v72
