parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:1913105
parameter_name,Thyroxine
mouse_strain,C57BL
pvalue,0.7033213
mouse_life_stage,Early adult
gene_symbol,Slc28a2
analysis_id,161768og57866ka
