parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
pvalue,0.7689947
gene_symbol,Ppm1j
analysis_id,50f2cjhgk69azs7
gene_accession_id,MGI:1919137
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
