gene_symbol,Hrnr
parameter_id,JAX_LDT_008_001
analysis_id,g8aj1257qc3y24z
parameter_name,Percent time in dark
mouse_life_stage,Early adult
pvalue,0.3091406
gene_accession_id,MGI:3046938
mouse_strain,C57BL
