analysis_id,3m36rt4332s9r51
pvalue,0.8653726
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
gene_symbol,Etfdh
parameter_name,Corneal vascularization
