analysis_id,t69y143x5z4y226
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
gene_symbol,Exd1
gene_accession_id,MGI:3045306
pvalue,0.1904391
